Id,Weekly_Sales
1_1_2012-11-02,39108.7477775479
1_1_2012-11-09,20446.8897555667
1_1_2012-11-16,19372.0872976516
1_1_2012-11-23,19986.6321072066
1_1_2012-11-30,23686.8280307654
1_1_2012-12-07,28362.7400762788
1_1_2012-12-14,39338.8979270113
1_1_2012-12-21,47755.2756519891
1_1_2012-12-28,32748.16996932
1_1_2013-01-04,17027.5199533287
1_1_2013-01-11,17812.2736133483
1_1_2013-01-18,18775.54038147
1_1_2013-01-25,18879.8539960317
1_1_2013-02-01,22840.3317412019
1_1_2013-02-08,35097.8658473553
1_1_2013-02-15,53196.7313602187
1_1_2013-02-22,19002.540321829
1_1_2013-03-01,19825.2581337366
1_1_2013-03-08,20768.0775949542
1_1_2013-03-15,21489.1827313888
1_1_2013-03-22,21427.8677733223
1_1_2013-03-29,24974.984478392
1_1_2013-04-05,42712.5827116453
1_1_2013-04-12,33498.8943814455
1_1_2013-04-19,31661.4294314394
1_1_2013-04-26,26073.3210062001
1_1_2013-05-03,17561.2654507
1_1_2013-05-10,17540.0136617524
1_1_2013-05-17,16755.6254384481
1_1_2013-05-24,15773.5073265874
1_1_2013-05-31,16115.7313236304
1_1_2013-06-07,16717.1006761669
1_1_2013-06-14,16815.835972851
1_1_2013-06-21,16533.6959648609
1_1_2013-06-28,15890.7189926857
1_1_2013-07-05,16410.6804394374
1_1_2013-07-12,16654.3331359049
1_1_2013-07-19,15926.0887677168
1_1_2013-07-26,15658.1649842797
1_2_2012-11-02,46817.6788415919
1_2_2012-11-09,45936.6785512532
1_2_2012-11-16,44331.619406515
1_2_2012-11-23,44439.774840445
1_2_2012-11-30,45132.2043501475
1_2_2012-12-07,47434.8604099118
1_2_2012-12-14,51393.5387636318
1_2_2012-12-21,61601.0055589286
1_2_2012-12-28,51346.6793797817
1_2_2013-01-04,44303.3988358778
1_2_2013-01-11,44056.6681340713
1_2_2013-01-18,43920.2553852393
1_2_2013-01-25,43588.5225405763
1_2_2013-02-01,50863.5061196187
1_2_2013-02-08,50954.736345336
1_2_2013-02-15,49310.7171658719
1_2_2013-02-22,48258.5989850486
1_2_2013-03-01,52202.1122922031
1_2_2013-03-08,49416.051340801
1_2_2013-03-15,46725.839051573
1_2_2013-03-22,45325.9463410187
1_2_2013-03-29,47340.7178949359
1_2_2013-04-05,49119.8815408539
1_2_2013-04-12,44907.4535864848
1_2_2013-04-19,45650.2490419192
1_2_2013-04-26,45274.092968277
1_2_2013-05-03,49731.9243195757
1_2_2013-05-10,46037.0478040091
1_2_2013-05-17,46007.1492271846
1_2_2013-05-24,46144.8998170939
1_2_2013-05-31,47105.0130576444
1_2_2013-06-07,48798.5044535345
1_2_2013-06-14,47075.712712554
1_2_2013-06-21,46434.7061408189
1_2_2013-06-28,46330.8100227722
1_2_2013-07-05,47952.2549103104
1_2_2013-07-12,46064.8106845459
1_2_2013-07-19,46065.2524494191
1_2_2013-07-26,45171.7354359796
1_3_2012-11-02,9186.89626433765
1_3_2012-11-09,9794.5703032031
1_3_2012-11-16,9374.2574154703
1_3_2012-11-23,9117.97295629444
1_3_2012-11-30,11550.1977858513
1_3_2012-12-07,12326.9029914576
1_3_2012-12-14,13421.1151416808
1_3_2012-12-21,14816.9910411291
1_3_2012-12-28,11774.9779259323
1_3_2013-01-04,14844.9509032147
1_3_2013-01-11,13650.1579366048
1_3_2013-01-18,13724.8196306061
1_3_2013-01-25,13040.4971285322
1_3_2013-02-01,11499.0898570521
1_3_2013-02-08,12023.2845107114
1_3_2013-02-15,11319.583238261
1_3_2013-02-22,10694.5464816197
1_3_2013-03-01,10935.9831068407
1_3_2013-03-08,10637.8485412158
1_3_2013-03-15,8819.25989253242
1_3_2013-03-22,9275.05345721417
1_3_2013-03-29,9449.38111820948
1_3_2013-04-05,9885.07820658029
1_3_2013-04-12,9472.99754232983
1_3_2013-04-19,10134.063294802
1_3_2013-04-26,9355.07506127552
1_3_2013-05-03,10319.7688699821
1_3_2013-05-10,9781.60581786846
1_3_2013-05-17,9050.98445680484
1_3_2013-05-24,8864.10192528135
1_3_2013-05-31,8980.37277976296
1_3_2013-06-07,9231.81115339071
1_3_2013-06-14,8815.26772292262
1_3_2013-06-21,8504.34686517297
1_3_2013-06-28,8280.52897034386
1_3_2013-07-05,9202.45560761601
